index;Group
ho3384;CHF
nh2118;Control
ni0665;Control
ni8189;CHF
nl7187;Control
nn0966;Control
no1740;Control
nq3967;Control
nq5400;Control
nr5193;Control
nt5910;Control
nu0687;Control
nu9969;Control
nv7285;Control
nv8762;Control
ob4811;Control
ob4860;Control
oc0909;Control
oc9785;Control
od3399;Control
of7414;Control
og2901;Control
oh3122;Control
oh7156;Control
oj7527;Control
ok1999;Control
ok6402;Control
ol8811;Control
om2144;Control
om2763;CHF
om3324;Control
om9255;Control
om9313;Control
on2945;Control
on9775;Control
oo5194;Control
oo9790;Control
os0506;CHF
os8566;CHF
ot4853;CHF
ou2004;CHF
ou9249;CHF
ox1581;CHF
ox6960;CHF
ox7729;CHF
oy8593;CHF
oz3346;CHF
oz6471;CHF
pa4637;CHF
pa6483;CHF
pb7910;CHF
pb9866;CHF
pd7678;CHF
ph1503;CHF
ph8318;CHF
pk4172;CHF
pk6045;CHF
pk7308;Control
wp3927;CHF
wq5251;CHF
wr8031;CHF
wt7239;CHF
wt9623;CHF
wu1289;CHF
wu1636;CHF
wu6007;CHF
wv0777;CHF
wv2773;CHF
wv7822;CHF
wx2334;CHF
wy2804;CHF
wz0104;CHF
xa2543;CHF
xa7120;CHF
xb2260;CHF
xb9489;CHF
xc8845;CHF
xg6068;CHF
xk0827;CHF
xk4530;Control
xk7699;Control
xl4463;Control
xl5106;Control
xl7086;Control
xm9487;Control
xn1582;Control
xo3595;Control
xo3728;CHF
xo4734;CHF
ye6753;CHF
